file_uuid,file_uuid_breakdown,etl_timestamp
3106200_2024-11-26_7140,3106200_2024-11-26_7140,2025-01-28 23:49:31.398250
3106200_2024-11-27_7141,3106200_2024-11-27_7141,2025-01-28 23:49:42.763667
3106200_2024-11-28_7142,3106200_2024-11-28_7142,2025-01-28 23:49:51.549032
3106200_2024-11-29_7143,3106200_2024-11-29_7143,2025-01-28 23:50:00.733820
3106200_2024-11-30_7144,3106200_2024-11-30_7144,2025-01-28 23:50:09.289063
3106200_2024-12-03_7145,3106200_2024-12-03_7145,2025-01-28 23:50:16.408070
3106200_2024-12-04_7146,3106200_2024-12-04_7146,2025-01-28 23:50:23.949666
3106200_2024-12-05_7147,3106200_2024-12-05_7147,2025-01-28 23:50:29.517191
3106200_2024-12-06_7148,3106200_2024-12-06_7148,2025-01-28 23:50:35.924226
3106200_2024-12-07_7149,3106200_2024-12-07_7149,2025-01-28 23:50:42.936705
3106200_2024-12-10_7150,3106200_2024-12-10_7150,2025-01-28 23:50:45.015515
3106200_2024-12-11_7151,3106200_2024-12-11_7151,2025-01-28 23:50:55.279753
3106200_2024-12-12_7152,3106200_2024-12-12_7152,2025-01-28 23:50:58.263739
3106200_2024-12-13_7153,3106200_2024-12-13_7153,2025-01-28 23:51:02.560708
3106200_2024-12-14_7154,3106200_2024-12-14_7154,2025-01-28 23:51:09.059887
3106200_2024-12-17_7155,3106200_2024-12-17_7155,2025-01-28 23:51:12.976125
3106200_2024-11-26_7140,3106200_2024-11-26_7140,2025-01-31 23:08:15.637723
3106200_2024-11-26_7140,3106200_2024-11-26_7140,2025-01-31 23:08:21.327103
3106200_2024-11-27_7141,3106200_2024-11-27_7141,2025-01-31 23:08:34.673951
3106200_2024-11-28_7142,3106200_2024-11-28_7142,2025-01-31 23:08:44.656956
3106200_2024-11-29_7143,3106200_2024-11-29_7143,2025-01-31 23:08:55.327176
3106200_2024-11-30_7144,3106200_2024-11-30_7144,2025-01-31 23:09:05.696130
3106200_2024-12-03_7145,3106200_2024-12-03_7145,2025-01-31 23:09:13.415506
3106200_2024-12-04_7146,3106200_2024-12-04_7146,2025-01-31 23:09:22.243142
3106200_2024-12-05_7147,3106200_2024-12-05_7147,2025-01-31 23:09:28.059923
3106200_2024-12-06_7148,3106200_2024-12-06_7148,2025-01-31 23:09:35.166136
3106200_2024-12-07_7149,3106200_2024-12-07_7149,2025-01-31 23:09:43.242408
3106200_2024-12-10_7150,3106200_2024-12-10_7150,2025-01-31 23:09:45.958652
3106200_2024-12-11_7151,3106200_2024-12-11_7151,2025-01-31 23:09:59.863421
3106200_2024-12-12_7152,3106200_2024-12-12_7152,2025-01-31 23:10:03.587225
3106200_2024-12-13_7153,3106200_2024-12-13_7153,2025-01-31 23:10:09.621737
3106200_2024-12-14_7154,3106200_2024-12-14_7154,2025-01-31 23:10:17.941722
3106200_2024-12-17_7155,3106200_2024-12-17_7155,2025-01-31 23:10:23.416630
3106200_2024-11-26_7140,3106200_2024-11-26_7140,2025-02-01 00:00:26.679729
3106200_2024-11-27_7141,3106200_2024-11-27_7141,2025-02-01 00:00:36.485237
3106200_2024-11-28_7142,3106200_2024-11-28_7142,2025-02-01 00:00:44.131952
3106200_2024-11-29_7143,3106200_2024-11-29_7143,2025-02-01 00:00:52.131207
3106200_2024-11-30_7144,3106200_2024-11-30_7144,2025-02-01 00:00:59.359339
3106200_2024-12-03_7145,3106200_2024-12-03_7145,2025-02-01 00:01:05.792856
3106200_2024-12-04_7146,3106200_2024-12-04_7146,2025-02-01 00:01:13.049020
3106200_2024-12-05_7147,3106200_2024-12-05_7147,2025-02-01 00:01:17.990910
3106200_2024-12-06_7148,3106200_2024-12-06_7148,2025-02-01 00:01:24.859088
3106200_2024-12-07_7149,3106200_2024-12-07_7149,2025-02-01 00:01:31.211622
3106200_2024-12-10_7150,3106200_2024-12-10_7150,2025-02-01 00:01:33.439032
3106200_2024-12-11_7151,3106200_2024-12-11_7151,2025-02-01 00:01:43.133258
3106200_2024-12-12_7152,3106200_2024-12-12_7152,2025-02-01 00:01:45.868906
3106200_2024-12-13_7153,3106200_2024-12-13_7153,2025-02-01 00:01:49.790978
3106200_2024-12-14_7154,3106200_2024-12-14_7154,2025-02-01 00:01:56.320435
3106200_2024-12-17_7155,3106200_2024-12-17_7155,2025-02-01 00:02:00.346717
